individualID,nitrogenPercent,carbonPercent,extractChlAConc,extractChlBConc,extractCarotConc,leafArea,leafMassPerArea,dryMassFraction,ligninPercent,cellulosePercent,nlcdClass,collectDate,taxonID,scientificName,plantStatus,date,eventID,domainID,siteID,plotID,utmZone,northing,easting,adjDecimalLatitude,adjDecimalLongitude,api.elevation,stemDiameter,height,maxCrownDiameter,geometry,CHM,DSM,DTM
NEON.PLA.D01.HARV.05643,0.97,49.23,7.81,2.41,2.14,475.6,336.4,0.432,15.78,20.89,deciduousForest,2018-08-29T13:38:00Z,PIAB,Picea abies (L.) Karst.,OK,2016-07-26,vst_HARV_2016,D01,HARV,HARV_033,18N,4713398.844374295,731944.9676590054,42.538132,-72.175409,356.34,42.625,25.6,NaN,"c(-72.1755032122998, 42.5381750499207)",27.020000457763672,378.3399963378906,351.2300109863281
NEON.PLA.D01.HARV.05632,1.74,47.28,13.08,3.72,3.91,20839.4,81.6,0.445,12.71,25.4,deciduousForest,2018-08-30T13:54:00Z,FRAM2,Fraxinus americana L.,OK,2016-07-26,vst_HARV_2016,D01,HARV,HARV_033,18N,4713410.385193939,731947.8635717205,42.538288,-72.175399,355.18,26.666666666666668,24.766666666666666,NaN,"c(-72.1754633068864, 42.5382779890731)",25.209999084472656,370.2699890136719,350.3299865722656
NEON.PLA.D01.HARV.05625,1.58,48.51,17.66,5.6,4.39,18864.9,52.5,0.416,11.005,15.14,deciduousForest,2018-08-30T14:54:00Z,ACRU,Acer rubrum L.,Disease damaged,2016-07-26,vst_HARV_2016,D01,HARV,HARV_033,18N,4713404.426554443,731943.1743201968,42.538132,-72.175409,356.34,29.3,22.475,NaN,"c(-72.1755227600496, 42.5382257988895)",24.34000015258789,375.1300048828125,350.8399963378906
NEON.PLA.D01.HARV.04568,1.65,50.26,13.82,3.93,3.64,21143,67.6,0.486,11.87,13.75,evergreenForest,2018-08-30T19:35:00Z,ACRU,Acer rubrum L.,Disease damaged,2014-11-15,vst_HARV_2014,D01,HARV,HARV_035,18N,4713577.609163061,731724.2808706561,42.539807,-72.178111,368.43,25.3,17.725,NaN,"c(-72.1781149809722, 42.5398491985239)",18.3799991607666,380.2200012207031,361.82000732421875
NEON.PLA.D01.HARV.04552,1.19,51.08,8.79,2.65,3.17,737.9,122,0.321,9.75,15.89,evergreenForest,2018-09-04T15:09:00Z,TSCA,Tsuga canadensis (L.) Carrière,Insect damaged,2014-11-15,vst_HARV_2014,D01,HARV,HARV_035,18N,4713576.061030945,731712.7164292664,42.539808,-72.178351,364.42,39.175,17.875,NaN,"c(-72.1782562714716, 42.5398387397728)",19.950000762939453,381.5199890136719,361.8699951171875
NEON.PLA.D01.HARV.05186,1.31,50.985,6.51,2.74,2.65,576.4,138.8,0.421,10.81,17.26,evergreenForest,2018-09-04T18:41:00Z,TSCA,Tsuga canadensis (L.) Carrière,Insect damaged,2014-11-18,vst_HARV_2014,D01,HARV,HARV_037,18N,4713301.407539996,731651.1946631465,42.537324,-72.179032,366.92,59.325,21.125,NaN,"c(-72.1791158766401, 42.5373867020335)",18.420000076293945,377.8800048828125,359.8399963378906
NEON.PLA.D01.HARV.05181,1.5,50.89,15.94,4.8,4.58,17059.1,102.6,0.512,18.29,9.44,evergreenForest,2018-09-04T20:14:00Z,ACRU,Acer rubrum L.,Disease damaged,2014-11-18,vst_HARV_2014,D01,HARV,HARV_037,18N,4713309.689168938,731650.2339858533,42.537509,-72.179056,361.98,29.35,22.299999999999997,NaN,"c(-72.1791242057645, 42.5374614822054)",22.6200008392334,382.510009765625,359.8800048828125
NEON.PLA.D01.HARV.01135,1.73,47.31,16.64,5.03,4.95,14587.5,68.6,0.474,10.91,14.54,evergreenForest,2018-09-05T14:07:00Z,ACSA3,Acer saccharum Marshall,OK,2014-01-31,vst_HARV_2014,D01,HARV,HARV_013,18N,4696979.435811239,725971.8617638004,42.39229,-72.25461,184.34,41.7,23,12.850000000000001,"c(-72.2546240252178, 42.3922425245849)",26.670000076293945,209.3300018310547,182.74000549316406
NEON.PLA.D01.HARV.01137,1.41,51.855000000000004,9.56,2.89,2.29,1750.2,188.6,0.458,18.55,18.07,evergreenForest,2018-09-05T14:50:00Z,PIST,Pinus strobus L.,OK,2014-01-31,vst_HARV_2014,D01,HARV,HARV_013,18N,4696982.871971068,725977.8036890014,42.39229,-72.25461,184.34,52.55,24.9,10.2,"c(-72.2545505678925, 42.3922717071091)",25.6299991607666,206.67999267578125,182.4600067138672
NEON.PLA.D01.HARV.01146,1.87,48.22,16.68,3.56,4.06,12106.2,98.3,0.536,12.77,14.53,evergreenForest,2018-09-05T16:06:00Z,QURU,Quercus rubra L.,OK,2014-01-31,vst_HARV_2014,D01,HARV,HARV_013,18N,4696985.594260637,725964.4888376838,42.39229,-72.25461,184.34,50.45,24.8,17.65,"c(-72.2547110843301, 42.3923000683352)",26.799999237060547,210.72999572753906,184.00999450683594
NEON.PLA.D01.HARV.01779,1.81,49.02,21.6,5.88,5.4,19438.5,109.1,0.567,18.77,15.19,deciduousForest,2018-09-05T18:04:00Z,QURU,Quercus rubra L.,OK,2014-02-03,vst_HARV_2014,D01,HARV,HARV_006,18N,4698185.116243405,725997.4499186266,42.403097,-72.253722,188.53,32.8,19.25,11.05,"c(-72.2538402708373, 42.4030809973575)",16.239999771118164,194.08999633789062,188.2899932861328
